Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service,priority
google advertising agency,6,6,1000,43.0,45.15,https://www.designrush.com/agency/paid-media-pay-per-click/google-adwords,24.0,0.02,1083.0,0.32,837000000.0,"[25,37,37,52,46,46,52,52,68,84,100,100]",2025-09-06,"Local pack, Sitelinks, Video, Related searches",commercial,Organic,0,false,true,04-10,other,ppc,45150.0
google ds,5,5,1300,100.0,34.25,https://www.designrush.com/agency/paid-media-pay-per-click/google-adwords/trends/google-ads-costs,3.0,0.0,102.0,0.43,1870000000.0,"[7,8,29,100,13,13,18,13,16,35,10,3]",2025-09-11,"Knowledge panel, Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches, Ads middle",navigational,People also ask,0,false,true,04-10,trends,ppc,44525.0
ecommerce ppc agency,7,7,1000,19.0,41.04,https://www.designrush.com/agency/paid-media-pay-per-click/ecommerce,30.0,0.03,1231.0,0.22,4650000.0,"[5,7,10,13,2,24,18,13,24,24,29,44]",2025-09-08,"Image pack, Ads top, Ads bottom, Video Carousel, Related searches, Ads middle",commercial,Organic,0,false,true,04-10,other,ppc,41040.0
ppc agencies,7,7,1300,49.0,28.79,https://www.designrush.com/agency/paid-media-pay-per-click,3.0,0.0,86.0,0.07,13600000.0,"[52,52,52,52,37,52,68,68,100,100,100,100]",2025-09-10,"Local pack, Image pack, Sitelinks, Video, Image, Ads top, Ads bottom, Video Carousel, People also ask, Related searches, Ads middle, AI overview",commercial,Organic,0,false,true,04-10,other,ppc,37427.0
google adas,6,6,1000,100.0,34.25,https://www.designrush.com/agency/paid-media-pay-per-click/google-adwords/trends/google-ads-costs,3.0,0.0,102.0,0.43,2020000000.0,"[30,11,20,100,44,24,34,24,24,65,24,34]",2025-09-10,"Knowledge panel, Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches, Ads middle",navigational,People also ask,0,false,true,04-10,trends,ppc,34250.0
ppc service provider,5,5,140,45.0,217.6,https://www.designrush.com/agency/paid-media-pay-per-click/amazon,3.0,0.0,652.0,0.03,32800000.0,"[19,11,0,80,65,7,65,80,100,80,80,100]",2025-09-08,"Local pack, Video, People also ask, Related searches",informational,Organic,0,false,true,04-10,other,ppc,30464.0
top rated ppc companies,6,6,110,30.0,234.95,https://www.designrush.com/agency/paid-media-pay-per-click,3.0,0.0,704.0,0.05,10700000.0,"[23,33,23,52,33,33,42,52,80,80,100,66]",2025-08-17,"Sitelinks, Video Carousel, Related searches, Discussions and forums, AI overview",commercial,Organic,0,false,true,04-10,other,ppc,25844.5
google adwords agency,8,8,720,55.0,34.92,https://www.designrush.com/agency/paid-media-pay-per-click/google-adwords,15.0,0.01,523.0,0.39,215000000.0,"[8,11,2,7,3,52,46,68,46,100,52,46]",2025-09-02,"Local pack, Sitelinks, Video, Ads top, Ads bottom, Related searches, Ads middle","commercial, informational",Organic,0,false,true,04-10,other,ppc,25142.4
pay per click company,7,7,720,49.0,32.98,https://www.designrush.com/agency/paid-media-pay-per-click,9.0,0.01,296.0,0.11,1060000000.0,"[36,45,45,36,6,100,36,36,55,45,36,62]",2025-08-29,"Sitelinks, Ads bottom, Video Carousel, People also ask, Related searches, Ads middle, AI overview","commercial, informational",Organic,0,false,true,04-10,other,ppc,23745.6
google adwords company,7,7,390,79.0,52.57,https://www.designrush.com/agency/paid-media-pay-per-click/google-adwords,2.0,0.0,105.0,0.17,1300000000.0,"[12,36,12,19,5,15,81,67,54,54,54,54]",2025-09-07,"Local pack, Sitelinks, Video, Related searches",commercial,Organic,0,false,true,04-10,other,ppc,20502.3
top ppc agencies,5,5,480,21.0,42.69,https://www.designrush.com/agency/paid-media-pay-per-click,21.0,0.02,896.0,0.1,9160000.0,"[48,21,48,17,21,48,39,48,100,72,88,39]",2025-09-02,"Image pack, Sitelinks, Video, Video Carousel, Related searches, Discussions and forums","commercial, informational",Organic,0,false,true,04-10,other,ppc,20491.199999999997
pay per click agencies,7,7,590,36.0,28.79,https://www.designrush.com/agency/paid-media-pay-per-click/trends/ppc-platforms,5.0,0.0,143.0,0.07,107000000.0,"[0,13,7,4,13,66,100,16,20,16,16,41]",2025-08-29,"Sitelinks, Ads bottom, Video Carousel, People also ask, Related searches, Ads middle, AI overview",informational,People also ask,0,false,true,04-10,trends,ppc,16986.1
best pay per click management company,7,7,140,28.0,121.1,https://www.designrush.com/agency/paid-media-pay-per-click,2.0,0.0,242.0,0.02,738000000.0,"[6,6,6,34,34,34,28,34,53,100,81,53]",2025-08-30,"Sitelinks, Related searches, Discussions and forums, AI overview",commercial,Organic,0,false,true,04-10,other,ppc,16954.0
pay per click marketing services,8,8,480,44.0,33.46,https://www.designrush.com/agency/paid-media-pay-per-click,11.0,0.01,368.0,0.05,822000000.0,"[32,14,9,39,32,21,39,88,100,88,88,32]",2025-09-08,"Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,other,ppc,16060.800000000001
google adwords management company,9,9,210,32.0,75.81,https://www.designrush.com/agency/paid-media-pay-per-click/google-adwords,4.0,0.0,303.0,0.09,1960000000.0,"[5,5,12,82,53,43,53,66,100,100,66,100]",2025-08-31,"Sitelinks, Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,other,ppc,15920.1
ppc service providers,8,8,70,30.0,217.6,https://www.designrush.com/agency/paid-media-pay-per-click/amazon,1.0,0.0,217.0,0.03,6560000.0,"[0,2,2,15,2,2,9,15,19,12,12,9]",2025-08-27,"Image pack, Sitelinks, Ads bottom, Video Carousel, Related searches, AI overview",informational,Organic,0,false,true,04-10,other,ppc,15232.0
google ad company,6,6,260,75.0,52.57,https://www.designrush.com/agency/paid-media-pay-per-click/google-adwords,2.0,0.0,105.0,0.17,3180000000.0,"[28,15,15,15,28,15,66,54,81,100,66,35]",2025-08-24,"Image pack, Sitelinks, Video, Related searches, AI overview","informational, transactional",Organic,0,false,true,04-10,other,ppc,13668.2
google ads agencies,10,10,390,46.0,33.78,https://www.designrush.com/agency/paid-media-pay-per-click/google-adwords,2.0,0.0,67.0,0.17,202000000.0,"[54,28,35,54,35,81,54,81,81,100,81,66]",2025-08-15,"Image pack, Sitelinks, Video, Ads top, Ads bottom, Video Carousel, Related searches",commercial,Organic,0,false,true,04-10,other,ppc,13174.2
google ads companies,4,4,210,46.0,57.23,https://www.designrush.com/agency/paid-media-pay-per-click/google-adwords,2.0,0.0,114.0,0.23,1780000000.0,"[22,10,8,22,14,14,100,35,54,81,54,66]",2025-08-23,"Image pack, Sitelinks, Video, Ads bottom, Related searches",informational,Organic,0,false,true,04-10,other,ppc,12018.3
ppc advertising agencies,8,8,320,36.0,32.98,https://www.designrush.com/agency/paid-media-pay-per-click/us,7.0,0.0,230.0,0.11,8910000.0,"[55,0,0,0,5,0,20,100,36,20,30,20]",2025-08-19,"Local pack, Sitelinks, Video Carousel, Related searches, AI overview",informational,Organic,0,false,true,04-10,other,ppc,10553.599999999999
ppc firms,5,5,90,15.0,99.11,https://www.designrush.com/agency/paid-media-pay-per-click/us,3.0,0.0,297.0,0.03,3380000.0,"[80,9,0,0,19,33,52,66,100,52,52,23]",2025-08-15,"Sitelinks, Related searches, AI overview",commercial,Organic,0,false,true,04-10,other,ppc,8919.9
youtube marketing agency,5,5,880,23.0,8.67,https://www.designrush.com/agency/paid-media-pay-per-click/youtube,30.0,0.03,260.0,0.27,403000000.0,"[30,30,30,36,45,45,55,55,81,81,62,100]",2025-09-09,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic,0,false,true,04-10,other,ppc,7629.6
amazon ppc services,6,6,480,25.0,14.4,https://www.designrush.com/agency/paid-media-pay-per-click/amazon,16.0,0.01,230.0,0.15,7520000.0,"[36,29,66,6,9,81,81,66,100,100,36,100]",2025-09-06,"Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches, Ads middle",commercial,Organic,0,false,true,04-10,other,ppc,6912.0
top ppc companies,5,5,170,18.0,38.72,https://www.designrush.com/agency/paid-media-pay-per-click,5.0,0.0,193.0,0.05,9810000.0,"[12,10,15,15,5,12,15,10,29,36,23,36]",2025-09-04,"Local pack, Sitelinks, Ads bottom, Video Carousel, Related searches, Discussions and forums, Ads middle, AI overview","commercial, informational",Organic,0,false,true,04-10,other,ppc,6582.4
google ads marketing company,8,8,110,43.0,59.79,https://www.designrush.com/agency/paid-media-pay-per-click/google-adwords,2.0,0.0,119.0,0.28,921000000.0,"[26,42,65,42,19,7,53,53,34,34,100,65]",2025-08-26,"Local pack, Sitelinks, Video, Ads top, Ads bottom, Video Carousel, Related searches",commercial,Organic,0,false,true,04-10,other,ppc,6576.9
most convincing ads,4,4,390,25.0,13.8,https://www.designrush.com/agency/paid-media-pay-per-click/trends/persuasive-ads-examples,25.0,0.02,345.0,0.18,25600000.0,"[8,5,11,11,8,13,13,100,11,7,3,25]",2025-08-25,"Image pack, Video, Related searches, Discussions and forums",,Organic,0,false,true,04-10,trends,ppc,5382.0
youtube marketing services,5,5,590,25.0,8.82,https://www.designrush.com/agency/paid-media-pay-per-click/youtube,12.0,0.01,105.0,0.04,1750000000.0,"[23,29,44,54,67,54,67,67,100,81,81,81]",2025-09-06,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic,0,false,true,04-10,other,ppc,5203.8
amazon ppc management services,7,7,260,21.0,18.8,https://www.designrush.com/agency/paid-media-pay-per-click/amazon,7.0,0.0,131.0,0.06,4050000.0,"[28,28,44,54,44,35,44,28,54,66,66,54]",2025-08-25,"Sitelinks, Video, Ads bottom, Related searches",commercial,Organic,0,false,true,04-10,other,ppc,4888.0
ppc ads company,8,8,140,33.0,32.98,https://www.designrush.com/agency/paid-media-pay-per-click,3.0,0.0,98.0,0.11,16100000.0,"[44,1,0,0,0,0,15,23,100,28,28,44]",2025-08-24,"Sitelinks, Video Carousel, Related searches","commercial, informational",Organic,0,false,true,04-10,other,ppc,4617.2
ppc ecommerce agency,4,4,110,10.0,41.04,https://www.designrush.com/agency/paid-media-pay-per-click/ecommerce,2.0,0.0,82.0,0.22,4720000.0,"[6,6,9,9,0,6,34,43,100,81,65,65]",2025-08-25,"Image pack, Ads bottom, Video Carousel, People also ask, Related searches, AI overview",informational,Organic,0,false,true,04-10,other,ppc,4514.4
best pay per click agencies,9,9,320,32.0,13.23,https://www.designrush.com/agency/paid-media-pay-per-click/trends/ppc-platforms,2.0,0.0,26.0,0.11,393000000.0,"[29,66,44,44,15,29,36,100,66,54,36,5]",2025-08-24,"Sitelinks, Video Carousel, Related searches, Discussions and forums, AI overview",commercial,Organic,0,false,true,04-10,trends,ppc,4233.6
amazon ppc management agency,10,10,210,18.0,19.76,https://www.designrush.com/agency/paid-media-pay-per-click/amazon,4.0,0.0,79.0,0.05,884000.0,"[28,35,82,100,7,82,66,53,66,43,28,53]",2025-09-01,"Sitelinks, Video, People also ask, Related searches",informational,Organic,0,false,true,04-10,other,ppc,4149.6
amazon ppc agencies,7,7,170,24.0,20.32,https://www.designrush.com/agency/paid-media-pay-per-click/amazon,4.0,0.0,81.0,0.23,2400000.0,"[28,100,43,34,21,43,65,65,65,65,81,65]",2025-09-04,"Sitelinks, Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,other,ppc,3454.4
google ads company near me,6,6,140,52.0,24.59,https://www.designrush.com/agency/paid-media-pay-per-click/google-adwords,4.0,0.0,98.0,0.25,1720000000.0,"[42,19,80,66,66,80,42,52,100,66,52,42]",2025-09-03,"Local pack, Sitelinks, Video, Related searches",transactional,Organic,0,false,true,04-10,other,ppc,3442.6
google ads agency for small business,5,5,140,30.0,23.67,https://www.designrush.com/agency/paid-media-pay-per-click/google-adwords,6.0,0.0,142.0,0.45,91800000.0,"[100,82,64,52,82,41,64,82,100,64,100,100]",2025-08-26,"Sitelinks, Video, Related searches, Discussions and forums",commercial,Organic,0,false,true,04-10,other,ppc,3313.8
google ads vs bing ads,5,5,260,26.0,11.93,https://www.designrush.com/agency/paid-media-pay-per-click/bing/trends/bing-ads-vs-google-ads,9.0,0.01,107.0,0.28,174000000.0,"[4,3,3,36,100,6,6,6,6,4,8,6]",2025-08-15,"Image pack, Sitelinks, Video, Related searches, See results about, Discussions and forums, AI overview",commercial,Organic,0,false,true,04-10,trends,ppc,3101.7999999999997
youtube agency,6,6,480,25.0,6.01,https://www.designrush.com/agency/paid-media-pay-per-click/youtube,16.0,0.01,96.0,0.36,1170000000.0,"[100,36,36,44,44,44,66,54,66,66,100,81]",2025-09-11,"Sitelinks, Video, Ads bottom, People also ask, Related searches, Ads middle",commercial,Organic,0,false,true,04-10,other,ppc,2884.7999999999997
pay per click company portland,7,7,210,7.0,13.6,https://www.designrush.com/agency/paid-media-pay-per-click/oregon/portland,5.0,0.0,68.0,0.15,31500000.0,"[35,35,35,43,35,35,28,82,66,82,100,66]",2025-08-27,"Local pack, Image pack, AI overview",commercial,Organic,0,false,true,04-10,geo,ppc,2856.0
amazon ppc advertising services,5,5,210,45.0,12.0,https://www.designrush.com/agency/paid-media-pay-per-click/amazon,2.0,0.0,24.0,0.27,3670000.0,"[66,54,100,1,0,8,28,35,44,44,44,23]",2025-08-31,"Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic,0,false,true,04-10,other,ppc,2520.0
b2b ppc agencies,8,8,110,11.0,22.79,https://www.designrush.com/agency/paid-media-pay-per-click/b2b-ppc-agencies/texas/houston,2.0,0.0,45.0,0.08,1010000.0,"[11,15,19,11,7,19,53,53,100,65,65,53]",2025-08-26,"Image pack, Related searches, AI overview",commercial,Organic,0,false,true,04-10,other,ppc,2506.9
