Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service
ai development companies,20,20,1300,61.0,20.24,https://www.designrush.com/agency/ai-companies,3.0,0.0,60.0,0.17,1260000000.0,"[37,37,31,37,46,68,52,84,84,84,100,84]",2025-09-08,"Sitelinks, Video, Related searches",commercial,Organic,0,false,false,11-20,agency,ai
ai companies bay area,5,5,70,25.0,4.0,https://www.designrush.com/agency/ai-companies/california/san-francisco,2.0,0.0,8.0,0.49,181000000.0,"[45,100,45,63,45,36,100,63,100,63,63,63]",2025-08-15,"Top stories, Image pack, Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,ai
chatgpt usage statistics 2025,16,20,1900,64.0,0.0,https://www.designrush.com/agency/ai-companies/trends/chatgpt-usage-statistics,2.0,0.0,0.0,0.0,69500000.0,"[100,0]",2025-09-12,"Image pack, Sitelinks, People also ask, Related searches, Datasets","commercial, informational",Organic,4,false,false,11-20,agency,ai
ai companies in boston,9,9,90,12.0,3.69,https://www.designrush.com/agency/ai-companies/massachusetts/boston,2.0,0.0,7.0,0.46,254000000.0,"[63,81,81,45,63,81,81,81,81,81,100,81]",2025-08-27,"Image pack, Video, Related searches","commercial, informational",Organic,0,false,true,04-10,agency,ai
chatgpt rival,12,12,210,38.0,1.74,https://www.designrush.com/agency/ai-companies/trends/chatgpt-alternatives,2.0,0.0,3.0,0.32,19000000.0,"[0,23,23,7,2,3,81,44,36,23,23,23]",2025-08-16,"Image pack, Sitelinks, Video, Featured snippet, Related searches",commercial,Organic,0,false,false,11-20,agency,ai
chatgpt rivals,10,10,110,38.0,1.74,https://www.designrush.com/agency/ai-companies/trends/chatgpt-alternatives,2.0,0.0,3.0,0.32,11400000.0,"[3,15,15,15,6,53,100,43,100,53,15,6]",2025-08-22,"Image pack, Video, Related searches",commercial,Organic,0,false,true,04-10,agency,ai
different types of ai,28,28,1900,52.0,1.9,https://www.designrush.com/agency/ai-companies/trends/types-of-ai,2.0,0.0,3.0,0.04,2300000000.0,"[44,44,65,65,65,55,82,100,82,82,82,82]",2025-09-05,"Video, Related searches, AI overview",informational,Organic,0,false,false,21-50,agency,ai
ai companies in netherlands,3,3,40,1.0,0.0,https://www.designrush.com/agency/ai-companies/nl,2.0,0.0,0.0,0.0,231000000.0,"[11,52,64,100,0,11,11,11,11,11,11,11]",2025-09-03,"Image pack, Video, Related searches, AI overview",commercial,Organic,0,true,true,01-03,agency,ai
top ai automation agencies,4,4,50,20.0,14.45,https://www.designrush.com/agency/ai-companies/ai-automation-agency,2.0,0.0,28.0,0.54,72400000.0,"[11,11,7,7,7,7,7,7,15,100,65,7]",2025-08-26,"Image pack, Sitelinks, Video, Related searches, Discussions and forums, AI overview","commercial, informational",Organic,0,false,true,04-10,agency,ai
ai cad,17,17,590,25.0,2.58,https://www.designrush.com/agency/ai-companies/trends/text-to-cad-ai,2.0,0.0,5.0,0.4,174000000.0,"[39,32,32,39,39,39,88,100,100,100,72,72]",2025-09-07,"Image pack, Video, Related searches","commercial, informational",Organic,0,false,false,11-20,agency,ai
ai companies in chicago,6,6,70,7.0,5.15,https://www.designrush.com/agency/ai-companies/illinois/chicago,2.0,0.0,10.0,0.43,354000000.0,"[27,36,36,45,45,45,45,45,100,100,81,81]",2025-09-08,"Image pack, Sitelinks, Video, Related searches",commercial,Organic,0,false,true,04-10,agency,ai
ai automation companies,10,10,110,30.0,10.88,https://www.designrush.com/agency/ai-companies,2.0,0.0,21.0,0.41,299000000.0,"[23,82,52,52,64,52,64,64,100,82,100,100]",2025-09-08,"Image pack, Sitelinks, Video, Related searches, Ads middle, AI overview",informational,Organic,0,false,true,04-10,agency,ai
chatgpt user activity trends past 30 minutes,12,12,480,40.0,0.0,https://www.designrush.com/agency/ai-companies/trends/chatgpt-usage-statistics,2.0,0.0,0.0,0.0,61000000.0,"[100,0]",2025-09-04,"Image pack, Video, People also ask, Related searches","commercial, informational",Organic,0,false,false,11-20,agency,ai
top ai search presentation authority,3,3,70,29.0,0.0,https://www.designrush.com/agency/ai-companies/trends/ai-search-engines,2.0,0.0,0.0,0.0,216000000.0,[100],2025-08-29,"Image pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",commercial,Organic,0,true,true,01-03,agency,ai
texttocad,7,7,70,28.0,1.14,https://www.designrush.com/agency/ai-companies/trends/text-to-cad-ai,2.0,0.0,2.0,0.22,97.0,"[0,0,0,0,0,0,17,100,23,17,10,7]",2025-08-26,"Image pack, Sitelinks, Video, Image, Ads top, Ads bottom, Related searches",commercial,Organic,0,false,true,04-10,agency,ai
ai startups san francisco,6,6,70,22.0,3.95,https://www.designrush.com/agency/ai-companies/california/san-francisco,2.0,0.0,7.0,0.1,60600000.0,"[23,23,23,29,23,17,64,29,100,64,82,64]",2025-09-09,"Image pack, Video, Related searches, AI overview",commercial,Organic,0,false,true,04-10,agency,ai
ai companies in bay area,8,8,70,24.0,4.0,https://www.designrush.com/agency/ai-companies/california/san-francisco,1.0,0.0,4.0,0.49,192000000.0,"[23,52,14,14,14,19,52,42,52,23,33,33]",2025-08-15,"Local pack, Top stories, Image pack, Sitelinks, Video, Related searches",commercial,Organic,0,false,true,04-10,agency,ai
ai ml development company in switzerland,4,4,40,3.0,0.0,https://www.designrush.com/agency/ai-companies/ch,1.0,0.0,0.0,0.0,20800000.0,"[0,22,0,77,100,55]",2025-09-01,"Local pack, Video, People also ask, Related searches, AI overview","commercial, informational",Organic,0,false,true,04-10,agency,ai
examples of artificial intelligence,26,26,1300,69.0,1.6,https://www.designrush.com/agency/ai-companies/trends/artificial-intelligence-examples,1.0,0.0,1.0,0.12,747000000.0,"[34,24,55,44,55,55,55,44,44,65,44,34]",2025-09-08,"Image pack, Video, Related searches, AI overview",informational,Organic,0,false,false,21-50,agency,ai
ai automations agency,4,4,30,32.0,10.44,https://www.designrush.com/agency/ai-companies/ai-automation-agency,1.0,0.0,10.0,0.61,148000000.0,"[0,0,0,0,0,0,45,18,9,100,18,81]",2025-09-04,"Local pack, Image pack, Video, Ads top, Ads bottom, Related searches, Ads middle","commercial, informational",Organic,0,false,true,04-10,agency,ai
