Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service
shopify online store,1,1,2900,91.0,3.33,https://www.designrush.com/agency/ecommerce/trends/how-much-does-it-cost-to-build-a-shopify-website,14.0,0.01,46.0,0.08,318000000.0,"[66,44,24,18,29,16,44,44,53,66,81,100]",2025-09-10,"Sitelinks, Video, Ads bottom, People also ask, Related searches, Ads middle",navigational,People also ask,0,true,true,01-03,agency,ecommerce
ecommerce web development company,12,12,1000,37.0,15.34,https://www.designrush.com/agency/ecommerce,13.0,0.01,199.0,0.02,55700000.0,"[11,25,100,46,46,13,52,52,84,68,52,100]",2025-09-10,"Ads top, Ads bottom, Related searches, Ads middle",commercial,Organic,0,false,false,11-20,agency,ecommerce
e-commerce development companies,1,1,170,65.0,0.0,https://www.designrush.com/agency/ecommerce,13.0,0.01,0.0,0.0,279000000.0,"[0,0,0,0,0,0,0,0,1,45,100,0]",2025-08-22,"Local pack, Image pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic,0,true,true,01-03,agency,ecommerce
shopify website development company,1,1,390,47.0,14.28,https://www.designrush.com/agency/ecommerce/trends/how-much-does-it-cost-to-build-a-shopify-website,12.0,0.01,171.0,0.15,15500000.0,"[36,23,23,54,23,67,81,44,81,19,36,100]",2025-08-15,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask,0,true,true,01-03,agency,ecommerce
ecommerce development companies,3,3,390,20.0,74.74,https://www.designrush.com/agency/ecommerce,11.0,0.01,822.0,0.1,52900000.0,"[43,35,35,81,66,81,100,100,100,54,81,100]",2025-09-04,"Local pack, Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic,0,true,true,01-03,agency,ecommerce
magento development companies,1,1,170,26.0,23.3,https://www.designrush.com/agency/ecommerce/magento,11.0,0.01,256.0,0.04,24100000.0,"[0,2,10,4,43,4,54,35,81,54,100,66]",2025-09-09,"Local pack, Ads bottom, Video Carousel, Related searches, Ads middle",commercial,Organic,0,true,true,01-03,agency,ecommerce
ecommerce magento development agency,5,5,210,31.0,0.0,https://www.designrush.com/agency/ecommerce/magento,9.0,0.01,0.0,0.0,3780000.0,"[7,5,12,2,2,2,23,23,23,12,100,44]",2025-09-09,Related searches,commercial,Organic,0,false,true,04-10,agency,ecommerce
ecommerce consulting companies,1,1,260,25.0,11.68,https://www.designrush.com/agency/ecommerce/consulting,9.0,0.01,105.0,0.1,25500000.0,"[28,43,53,66,66,53,82,53,66,35,66,100]",2025-08-29,"Sitelinks, Video, Related searches, AI overview",informational,AI overview,0,true,true,01-03,agency,ecommerce
magento ecommerce developers,1,1,260,39.0,30.19,https://www.designrush.com/agency/ecommerce/magento,9.0,0.01,271.0,0.01,3240000.0,"[29,15,12,0,15,19,19,23,100,54,66,81]",2025-08-31,"Knowledge panel, Video Carousel, People also ask, Related searches, AI overview",informational,AI overview,0,true,true,01-03,agency,ecommerce
top ecommerce development companies,2,2,110,14.0,101.21,https://www.designrush.com/agency/ecommerce,9.0,0.01,910.0,0.1,34100000.0,"[14,19,42,80,42,33,0,100,66,80,66,66]",2025-08-15,"Local pack, Video, Related searches, AI overview","commercial, informational",Organic,0,true,true,01-03,agency,ecommerce
ecommerce development company usa,1,1,40,44.0,10.04,https://www.designrush.com/agency/ecommerce,9.0,0.01,90.0,0.01,17300000.0,"[11,11,11,11,11,11,29,11,23,41,5,100]",2025-08-30,"Sitelinks, Related searches",commercial,Organic,0,true,true,01-03,agency,ecommerce
ecommerce development company in usa,1,1,140,34.0,10.04,https://www.designrush.com/agency/ecommerce/us,8.0,0.0,80.0,0.01,16700000.0,"[34,15,42,7,42,65,53,42,65,100,65,80]",2025-08-15,"Sitelinks, Related searches, AI overview",informational,AI overview,0,true,true,01-03,agency,ecommerce
best ecommerce website development company,1,1,140,39.0,8.93,https://www.designrush.com/agency/ecommerce,8.0,0.0,71.0,0.08,48200000.0,"[5,5,66,7,5,100,35,35,100,23,28,43]",2025-08-17,"Sitelinks, Video, People also ask, Related searches, AI overview",commercial,AI overview,0,true,true,01-03,agency,ecommerce
top magento development companies,2,2,90,28.0,30.64,https://www.designrush.com/agency/ecommerce/magento,7.0,0.0,214.0,0.04,5070000.0,"[7,7,19,26,7,7,53,19,42,42,100,65]",2025-09-06,"Local pack, Image pack, Sitelinks, Video Carousel, Related searches, AI overview",commercial,Organic,0,true,true,01-03,agency,ecommerce
ecommerce website designing company,1,1,110,45.0,0.0,https://www.designrush.com/agency/ecommerce/web-design,6.0,0.0,0.0,0.02,133000000.0,"[6,6,6,6,6,6,65,65,65,34,53,81]",2025-08-26,"Sitelinks, Related searches, AI overview",informational,AI overview,0,true,true,01-03,agency,ecommerce
ecommerce consulting companies,7,7,260,25.0,11.68,https://www.designrush.com/agency/ecommerce/consulting,6.0,0.0,70.0,0.1,25500000.0,"[28,43,53,66,66,53,82,53,66,35,66,100]",2025-08-29,"Sitelinks, Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,ecommerce
shopify setup,2,2,210,52.0,7.04,https://www.designrush.com/agency/ecommerce/trends/how-much-does-it-cost-to-build-a-shopify-website,6.0,0.0,42.0,0.63,98600000.0,"[43,43,43,29,35,35,43,43,54,43,43,43]",2025-09-09,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask,0,true,true,01-03,agency,ecommerce
ecommerce liverpool,2,2,50,6.0,0.0,https://www.designrush.com/agency/ecommerce/uk/liverpool,6.0,0.0,0.0,0.0,13900000.0,"[11,22,33,44,77,100,77,22,77,100,33,77]",2025-08-17,"Image pack, Video, People also ask, Related searches","commercial, informational",Organic,0,true,true,01-03,agency,ecommerce
shopify store,5,5,12100,67.0,3.79,https://www.designrush.com/agency/ecommerce/trends/how-much-does-it-cost-to-build-a-shopify-website,6.0,0.0,22.0,0.41,344000000.0,"[81,66,66,100,81,44,100,54,100,44,54,44]",2025-09-10,"Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches, See results about, Ads middle",navigational,People also ask,0,false,true,04-10,agency,ecommerce
bigcommerce website design in usa,1,1,30,41.0,36.87,https://www.designrush.com/agency/ecommerce/bigcommerce,5.0,0.0,184.0,0.02,6790000.0,"[9,9,0,0,0,9,45,45,100,63,45,27]",2025-08-21,"Image pack, Video, People also ask, Related searches, AI overview",informational,AI overview,0,true,true,01-03,agency,ecommerce
ecommerce development toronto,2,2,70,11.0,0.0,https://www.designrush.com/agency/ecommerce/ca/toronto,5.0,0.0,0.0,0.0,2280000.0,"[23,9,9,33,33,42,33,23,52,42,42,52]",2025-08-20,"People also ask, Related searches, AI overview","commercial, informational",Organic,0,true,true,01-03,agency,ecommerce
ecommerce branding agency,1,1,90,61.0,14.34,https://www.designrush.com/agency/ecommerce-seo-marketing,5.0,0.0,71.0,0.27,31400000.0,"[11,11,6,15,11,15,11,15,18,28,28,23]",2025-08-25,"Sitelinks, Related searches, AI overview",informational,AI overview,0,true,true,01-03,agency,ecommerce
best ecommerce web design companies,1,1,90,33.0,23.54,https://www.designrush.com/agency/ecommerce,5.0,0.0,117.0,0.03,28000000.0,"[11,11,11,11,64,100,29,64,82,52,52,52]",2025-08-16,"Image pack, Video, People also ask, Related searches, Discussions and forums, AI overview",commercial,AI overview,0,true,true,01-03,agency,ecommerce
ecommerce digital advertising agency,1,1,90,30.0,21.32,https://www.designrush.com/agency/ecommerce-seo-marketing,5.0,0.0,106.0,0.03,27600000.0,"[14,4,0,4,0,0,52,80,100,100,100,66]",2025-08-25,"Sitelinks, People also ask, Related searches, AI overview",informational,AI overview,0,true,true,01-03,agency,ecommerce
magento agencies,2,2,70,16.0,23.05,https://www.designrush.com/agency/ecommerce/magento,5.0,0.0,115.0,0.06,668000.0,"[6,5,6,9,5,4,15,9,19,9,12,9]",2025-09-08,"Knowledge panel, Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic,0,true,true,01-03,agency,ecommerce
ecommerce consulting firms,6,6,170,24.0,11.68,https://www.designrush.com/agency/ecommerce/consulting,5.0,0.0,58.0,0.1,13300000.0,"[34,34,28,81,34,43,43,65,81,43,81,65]",2025-08-20,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic,0,false,true,04-10,agency,ecommerce
ecommerce website development companies,2,2,70,40.0,0.0,https://www.designrush.com/agency/ecommerce,5.0,0.0,0.0,0.01,41700000.0,"[9,9,9,42,9,9,66,52,80,52,52,14]",2025-09-01,"Sitelinks, People also ask, Related searches, AI overview",informational,Organic,0,true,true,01-03,agency,ecommerce
ecommerce web design companies,1,1,140,38.0,16.14,https://www.designrush.com/agency/ecommerce/web-design,5.0,0.0,80.0,0.03,50600000.0,"[10,17,10,23,23,23,35,35,66,53,82,82]",2025-08-25,"Local pack, Image pack, Sitelinks, Image, Related searches, AI overview",commercial,AI overview,0,true,true,01-03,agency,ecommerce
woocommerce development agency,7,7,720,33.0,25.77,https://www.designrush.com/agency/ecommerce/woocommerce,5.0,0.0,128.0,0.1,2800000.0,"[21,39,72,88,59,26,59,59,100,100,100,100]",2025-09-03,"Sitelinks, Related searches",informational,Organic,0,false,true,04-10,agency,ecommerce
top shopify development companies,2,2,70,10.0,13.78,https://www.designrush.com/agency/ecommerce/shopify,5.0,0.0,68.0,0.09,9150000.0,"[14,21,28,28,14,14,35,100,50,100,100,78]",2025-08-17,"Sitelinks, People also ask, Related searches, AI overview","commercial, informational",Organic,0,true,true,01-03,agency,ecommerce
ecommerce website design and development company,4,4,210,37.0,11.42,https://www.designrush.com/agency/ecommerce/web-design,5.0,0.0,57.0,0.05,53700000.0,"[18,14,22,14,18,29,54,43,100,54,81,43]",2025-08-22,"Sitelinks, People also ask, Related searches",commercial,Organic,0,false,true,04-10,agency,ecommerce
magento 2 agencies,1,1,40,17.0,0.0,https://www.designrush.com/agency/ecommerce/magento,5.0,0.0,0.0,0.0,4890000.0,"[28,28,28,28,28,28,57,57,100,100,71,57]",2025-09-03,"People also ask, Related searches, AI overview",commercial,Organic,0,true,true,01-03,agency,ecommerce
ecommerce brisbane,1,1,40,9.0,0.0,https://www.designrush.com/agency/ecommerce/au/brisbane,5.0,0.0,0.0,0.0,5290000.0,"[0,0,11,11,11,0,29,41,29,29,52,29]",2025-09-03,"Video, People also ask, Related searches, AI overview",informational,Organic,0,true,true,01-03,agency,ecommerce
