Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service,priority
ecommerce consulting firms,6,6,170,24.0,11.68,https://www.designrush.com/agency/ecommerce/consulting,5.0,0.0,58.0,0.1,13300000.0,"[34,34,28,81,34,43,43,65,81,43,81,65]",2025-08-20,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic,0,false,true,04-10,agency,ecommerce,1985.6
e commerce web design agency,10,10,110,47.0,15.3,https://www.designrush.com/agency/ecommerce/web-design,2.0,0.0,30.0,0.02,56300000.0,"[14,10,14,10,10,8,22,8,14,8,81,43]",2025-09-02,"Sitelinks, Related searches",commercial,Organic,0,false,true,04-10,agency,ecommerce,1683.0
top ecommerce agencies,8,8,90,34.0,16.67,https://www.designrush.com/agency/ecommerce,2.0,0.0,33.0,0.1,21900000.0,"[23,19,52,52,23,33,33,4,33,42,100,23]",2025-08-27,"Sitelinks, Ads bottom, Related searches, Discussions and forums, AI overview",commercial,Organic,0,false,true,04-10,agency,ecommerce,1500.3000000000002
magento web development companies,4,4,50,35.0,23.36,https://www.designrush.com/agency/ecommerce/magento,1.0,0.0,23.0,0.0,68100000.0,"[7,14,7,64,7,14,21,35,100,50,64,50]",2025-08-28,"Sitelinks, People also ask, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,ecommerce,1168.0
ecommerce web design development company,6,6,90,44.0,11.42,https://www.designrush.com/agency/ecommerce/web-design,2.0,0.0,22.0,0.05,82600000.0,"[19,19,0,3,3,7,65,53,11,100,100,34]",2025-09-08,"Local pack, Sitelinks, Image, Related searches",commercial,Organic,0,false,true,04-10,agency,ecommerce,1027.8
ecommerce development services usa,7,8,90,27.0,10.04,https://www.designrush.com/agency/ecommerce/us,2.0,0.0,20.0,0.01,16900000.0,"[9,9,9,9,19,52,52,52,0,100,100,80]",2025-09-11,"Ads bottom, Related searches, Ads middle","commercial, informational",Organic,1,false,true,04-10,agency,ecommerce,903.5999999999999
ecommerce business solutions,5,5,140,60.0,5.91,https://www.designrush.com/agency/ecommerce/trends/ecommerce-solutions-small-businesses,3.0,0.0,17.0,0.01,135000000.0,"[6,5,15,3,6,3,28,28,28,23,18,100]",2025-08-15,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,ecommerce,827.4
setup shopify store,4,0,70,49.0,7.12,https://www.designrush.com/agency/ecommerce/trends/how-much-does-it-cost-to-build-a-shopify-website,1.0,0.0,7.0,0.22,48800000.0,"[1,1,6,1,1,1,28,0,0,0,100,0]",2025-09-11,"Sitelinks, Video, People also ask, Related searches",,People also ask,-4,false,true,04-10,agency,ecommerce,498.40000000000003
how much is a shopify website,5,5,110,40.0,3.53,https://www.designrush.com/agency/ecommerce/trends/how-much-does-it-cost-to-build-a-shopify-website,1.0,0.0,3.0,0.55,176000000.0,"[29,52,64,82,100,82,82,82,100,82,82,52]",2025-08-15,"Sitelinks, Video, Related searches, AI overview","informational, navigational",Organic,0,false,true,04-10,agency,ecommerce,388.29999999999995
e commerce business list,8,8,140,44.0,2.67,https://www.designrush.com/agency/ecommerce/small-business,3.0,0.0,8.0,0.1,878000000.0,"[43,65,28,81,34,34,53,21,15,28,53,43]",2025-08-15,"Image pack, Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,ecommerce,373.8
ecommerce companies in usa,6,6,110,35.0,2.53,https://www.designrush.com/agency/ecommerce/small-business,3.0,0.0,7.0,0.09,194000000.0,"[15,28,28,28,34,21,28,15,21,28,100,53]",2025-09-05,"Sitelinks, Video, Related searches, AI overview","commercial, informational",Organic,0,false,true,04-10,agency,ecommerce,278.29999999999995
e-commerce solution,9,9,480,41.0,0.0,https://www.designrush.com/agency/ecommerce/trends/ecommerce-solutions-small-businesses,3.0,0.0,0.0,0.0,467000000.0,"[36,16,20,67,30,76,36,20,36,30,45,36]",2025-08-29,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview","commercial, informational",Organic,0,false,true,04-10,agency,ecommerce,0.0
top ecommerce companies in western pa,9,9,390,15.0,0.0,https://www.designrush.com/agency/ecommerce/pennsylvania/pittsburgh,2.0,0.0,0.0,0.0,1080000.0,"[100,0,0,0,0,0,0,0,0,0,0,0]",2025-09-07,"Local pack, People also ask, AI overview","commercial, informational",Organic,0,false,true,04-10,agency,ecommerce,0.0
magento ecommerce development company,4,4,390,27.0,0.0,https://www.designrush.com/agency/ecommerce/magento,25.0,0.02,0.0,0.0,4620000.0,"[16,8,8,13,30,45,16,24,30,36,100,55]",2025-08-23,"Sitelinks, Video, People also ask, Related searches","commercial, informational",Organic,0,false,true,04-10,agency,ecommerce,0.0
ecommerce magento development agency,5,5,210,31.0,0.0,https://www.designrush.com/agency/ecommerce/magento,9.0,0.01,0.0,0.0,3780000.0,"[7,5,12,2,2,2,23,23,23,12,100,44]",2025-09-09,Related searches,commercial,Organic,0,false,true,04-10,agency,ecommerce,0.0
e-commerce development company,6,6,140,43.0,0.0,https://www.designrush.com/agency/ecommerce,3.0,0.0,0.0,0.0,539000000.0,"[5,18,0,28,23,1,54,35,44,44,5,23]",2025-09-08,"Local pack, Related searches",commercial,Organic,0,false,true,04-10,agency,ecommerce,0.0
ecommerce website designing company,6,6,110,45.0,0.0,https://www.designrush.com/agency/ecommerce/web-design,3.0,0.0,0.0,0.02,133000000.0,"[6,6,6,6,6,6,65,65,65,34,53,81]",2025-08-26,"Sitelinks, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,ecommerce,0.0
magento design agency,9,9,110,11.0,0.0,https://www.designrush.com/agency/ecommerce/magento,2.0,0.0,0.0,0.08,4500000.0,"[6,6,6,6,6,15,43,65,100,53,65,53]",2025-08-24,"Sitelinks, Video, Related searches",commercial,Organic,0,false,true,04-10,agency,ecommerce,0.0
ecommerce websites development company,5,5,90,38.0,0.0,https://www.designrush.com/agency/ecommerce,3.0,0.0,0.0,0.01,245000000.0,"[15,11,15,3,3,15,26,26,26,53,100,65]",2025-09-05,"Sitelinks, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,ecommerce,0.0
magento developer los angeles,5,5,70,17.0,0.0,https://www.designrush.com/agency/ecommerce/magento/california/los-angeles,2.0,0.0,0.0,0.0,112000.0,"[9,9,9,9,9,9,9,33,66,66,100,33]",2025-08-28,"Local pack, Image pack, Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,ecommerce,0.0
small ecommerce companies uae contact email,4,4,70,13.0,0.0,https://www.designrush.com/agency/ecommerce/ae/dubai,4.0,0.0,0.0,0.0,11000000.0,"[100,0]",2025-08-30,"Image pack, Video, People also ask, FAQ, Related searches","commercial, informational",Organic,0,false,true,04-10,agency,ecommerce,0.0
magento specialists uk,4,4,70,8.0,0.0,https://www.designrush.com/agency/ecommerce/magento/uk,4.0,0.0,0.0,0.0,383000.0,"[14,0,35,50,64,35,28,28,100,100,78,35]",2025-08-25,"Video, Related searches","commercial, informational",Organic,0,false,true,04-10,agency,ecommerce,0.0
retail e-commerce consulting,9,9,50,20.0,0.0,https://www.designrush.com/agency/ecommerce/consulting,1.0,0.0,0.0,0.0,45700000.0,"[0,18,18,63,100,81]",2025-08-19,"Image pack, Video, Related searches",informational,Organic,0,false,true,04-10,agency,ecommerce,0.0
bigcommerce web design services,4,4,40,32.0,0.0,https://www.designrush.com/agency/ecommerce/bigcommerce,2.0,0.0,0.0,0.0,4780000.0,"[9,9,9,9,9,33,33,9,66,9,9,9]",2025-08-16,"Sitelinks, Video, Related searches","commercial, informational",Organic,0,false,true,04-10,agency,ecommerce,0.0
expert magento agency uk,4,4,40,16.0,0.0,https://www.designrush.com/agency/ecommerce/magento/uk,2.0,0.0,0.0,0.0,267000.0,"[0,9,27,9,27,9,18,27,100,81,63,45]",2025-08-18,"Sitelinks, Video, Featured snippet, Related searches",informational,Organic,0,false,true,04-10,agency,ecommerce,0.0
